id,label,shape,colour,stroke,fontcolour,width,height,x,y
A,Managing structural disruption,rect,#ffffff,1,#000000,210,40,0,0
B1,Patient works to mitigate loss,rect,#ffffff,1,#000000,205,40,0,0
B2,Caregiver works to mitigate loss,rect,#ffffff,1,#000000,215,40,0,0
C1,"navigates attempts to retain
access to work and
workplaces",rect,#ffffff,2,#000000,175,65,0,0
C2,"navigates social security
benefits",rect,#ffffff,2,#000000,165,55,0,0
C3,"navigates social/health
insurance",rect,#ffffff,2,#000000,155,55,0,0
C4,"negotiates restrictions on
movement",rect,#ffffff,1,#000000,175,55,0,0
D1,"navigates restrictions on
employment activity",rect,#ffffff,1,#000000,185,55,0,0
D2,"negotiates loss of stable
employment",rect,#ffffff,1,#000000,185,55,0,0
D3,"negotiates loss of employment
income",rect,#ffffff,1,#000000,185,55,0,0
D4,"manages payment for
treatment",rect,#ffffff,1,#000000,165,55,0,0
D5,"manages dependence on
discretionary support of others
for travel",rect,#ffffff,1,#000000,215,65,0,0
D6,"manages dependence on public
transport",rect,#ffffff,1,#000000,185,55,0,0
E1,"negotiates payment for
treatment/
residential/social care",rect,#ffffff,2,#000000,195,65,0,0
E2,"negotiates solutions to
financial problems",rect,#ffffff,2,#000000,185,55,0,0
E3,"negotiates solutions to
housing problems",rect,#ffffff,2,#000000,185,55,0,0
F1,"negotiates payment for
residential/social care",rect,#ffffff,1,#000000,195,55,0,0
